outer_fold,model_id,training_condition_ids,evaluation_condition_id,training_physical_unit_ids,evaluation_physical_unit_ids,training_condition_count,training_brew_count,evaluation_brew_count,training_scale_g_s,fitted_parameters,parameter_bound_status,fit_status,prediction_status,physical_loss_g_s,normalized_loss,failed_root_count,failure_reason
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-1.0,WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b,10,51,5,1.6662024999999998,"{""mean"": 1.61466705}",NA,PASS,PASS,1.5036816216390032,0.90246030817923,0,
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-1.0,WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b,10,51,5,1.6662024999999998,"{""intercept"": -0.33792602918431824, ""linear"": 0.5709229122302196, ""quadratic"": -0.03392769535518382}",NA,PASS,PASS,0.1424687789087536,0.08550508051017425,0,
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-1.0,WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b,10,51,5,1.6662024999999998,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21728288061673395}",INTERIOR,PASS,PASS,0.06744272972270339,0.04047691065323897,0,
HYD-LOCO-2.0,HYD_B0_TRAINING_MEAN,WASZ-COND-1.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-2.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5,10,52,4,1.9299269999999997,"{""mean"": 1.5882946}",NA,PASS,PASS,1.214723390463508,0.6294141646101165,0,
HYD-LOCO-2.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-COND-1.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-2.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5,10,52,4,1.9299269999999997,"{""intercept"": -0.2935964175334205, ""linear"": 0.5625741596043153, ""quadratic"": -0.03356014826058609}",NA,PASS,PASS,0.23861712241256158,0.12364049127897668,0,
HYD-LOCO-2.0,HYD_E1_LUMPED_DARCY,WASZ-COND-1.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-2.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5,10,52,4,1.9299269999999997,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21703805675344873}",INTERIOR,PASS,PASS,0.061746973096364274,0.03199446046216478,0,
HYD-LOCO-3.5,HYD_B0_TRAINING_MEAN,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-3.5,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5,10,53,3,1.9299269999999997,"{""mean"": 1.5204851833333333}",NA,PASS,PASS,0.48572586981110627,0.2516809546739884,0,
HYD-LOCO-3.5,HYD_B1_PRESSURE_QUADRATIC,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-3.5,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5,10,53,3,1.9299269999999997,"{""intercept"": -0.37643414446510826, ""linear"": 0.5890515872215958, ""quadratic"": -0.03525349173455769}",NA,PASS,PASS,0.21774109338550884,0.11282348678758776,0,
HYD-LOCO-3.5,HYD_E1_LUMPED_DARCY,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-3.5,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5,10,53,3,1.9299269999999997,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21479048279903817}",INTERIOR,PASS,PASS,0.4003900725394219,0.20746384321242303,0,
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-4.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b,10,46,10,1.9299269999999997,"{""mean"": 1.45833045}",NA,PASS,PASS,0.2905285668374153,0.15053863013337568,0,
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-4.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b,10,46,10,1.9299269999999997,"{""intercept"": -0.436987745576187, ""linear"": 0.5819233601455033, ""quadratic"": -0.03407785640434076}",NA,PASS,PASS,0.3591879867957001,0.18611480475463588,0,
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-4.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b,10,46,10,1.9299269999999997,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21054047427227096}",INTERIOR,PASS,PASS,0.9043644498125022,0.46860034074475476,0,
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ-COND-5.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b;WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5;WASZ-BREW-12-8-2;WASZ-BREW-12-8-3;WASZ-BREW-12-8-4;WASZ-BREW-12-8-5;WASZ-BREW-12-8-6;WASZ-BREW-12-8-7;WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5;WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5;WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b;WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6;WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4;WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3;WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5,10,51,5,1.9299269999999997,"{""mean"": 1.42242325}",NA,PASS,PASS,0.617721424625666,0.3200750207783331,0,
